x=-0.001220266373766985	y=0.007528113974059555	z=-4.54104691375795e-05	vx=-0.0029765930537352446	vy=0.0005216651269020373	vz=7.712448739774162e-05>
x=-0.023291658427882382	y=0.3152976584963577	z=0.027128266499068132	vx=-12.314341706188948	vy=-0.36109763602354505	vz=1.0999425156951566>
x=-0.43013718513207744	y=-0.5758985721446856	z=0.016701037975996712	vx=5.897806086540624	vy=-4.409427516933958	vz=-0.40095320958929487>
x=-0.9248704002859433	y=0.36502670984712554	z=-5.897781996353247e-05	vx=-2.3736159301403092	vy=-5.883401994288146	vz=0.00035076913384916213>
x=0.4439222214986392	y=1.4685840838073438	z=0.01964635131956007	vx=-4.699109522383319	vy=1.9247882791217419	vz=0.1556272374125241>
x=0.5748963683608159	y=-0.9374096932416227	z=0.03370073182488305	vx=5.411770166543971	vy=-0.09412251544596573	vz=-1.552821406211302>
x=-1.7325567322750524	y=-5.035722856052678	z=0.05964057574033738	vx=2.573122739347507	vy=-0.7652361192322079	vz=-0.05438400302008915>
x=2.257349120354865	y=-9.792842890290855	z=0.08041571866674925	vx=1.873255128398198	vy=0.4513150015654872	vz=-0.08241735248374829>
x=16.89484103007765	y=10.434642288834027	z=-0.18012035178566396	vx=-0.7654280256350169	vy=1.155281665196561	vz=0.014207153357780037>
x=29.025392183378994	y=-7.303694866508634	z=-0.5185135826922407	vx=0.2721726377822959	vy=1.1187220651415473	vz=-0.029310258607252403>	
